player_id,first_name,last_name,birth_date,nationality,position,preferred_foot,height,weight,team_id,matches_played,goals,assists,yellow_cards,red_cards,jersey_number,team_name
1,João,Gonçalves,2000-11-05,Portugal,Goalkeeper,Right,188.00,80.00,1,34,0,0,4,0,99,"Boavista Futebol Clube"
2,Pedro,Malheiro,2001-01-21,Portugal,"Right Back",Right,179.00,72.00,1,23,2,2,9,1,79,"Boavista Futebol Clube"
3,Chidozie,Awaziem,1997-01-01,Nigeria,"Center Back",Right,189.00,77.00,1,24,0,0,7,1,5,"Boavista Futebol Clube"
4,Vincent,Sasso,1991-02-16,France,"Center Back",Right,190.00,78.00,1,17,2,0,3,0,23,"Boavista Futebol Clube"
5,Rodrigo,Abascal,1994-01-14,Uruguay,"Center Back",Left,186.00,84.00,1,29,2,0,8,0,26,"Boavista Futebol Clube"
6,Filipe,Ferreira,1990-09-27,Portugal,"Left Back",Left,178.00,70.00,1,26,0,1,4,0,20,"Boavista Futebol Clube"
7,Bruno,Onyemaechi,1999-04-03,Nigeria,"Left Back",Left,184.00,80.00,1,24,0,1,3,0,70,"Boavista Futebol Clube"
8,Ibrahima,Camará,1999-01-25,Guinea,"Defensive Midfielder",Right,190.00,78.00,1,15,0,0,1,1,6,"Boavista Futebol Clube"
9,Ilija,Vukotić,1999-01-07,Montenegro,"Defensive Midfielder",Left,191.00,78.00,1,28,1,0,5,0,18,"Boavista Futebol Clube"
10,Sebastián,Pérez,1993-03-29,Colombia,"Defensive Midfielder",Right,175.00,72.00,1,28,0,0,15,2,24,"Boavista Futebol Clube"
11,Miguel,Reisinho,1999-04-09,Portugal,"Central Midfielder",Left,184.00,76.00,1,31,3,4,7,0,10,"Boavista Futebol Clube"
12,Joel,Silva,2003-02-11,Portugal,"Central Midfielder",Right,185.00,78.00,1,14,1,0,1,0,16,"Boavista Futebol Clube"
13,Gaius,Makouta,1997-07-25,Congo,"Central Midfielder",Right,180.00,75.00,1,30,2,3,9,0,42,"Boavista Futebol Clube"
14,Bernardo,Conceição,2003-09-15,Angola,"Central Midfielder",Left,169.00,62.00,1,18,0,0,2,0,80,"Boavista Futebol Clube"
15,Salvador,Agra,1991-11-11,Portugal,"Right Winger",Right,166.00,69.00,1,31,3,3,7,0,7,"Boavista Futebol Clube"
16,Bruno,Lourenço,1998-02-02,Portugal,"Right Winger",Left,179.00,73.00,1,32,5,1,4,1,8,"Boavista Futebol Clube"
17,Luís,Santos,2000-01-20,Portugal,"Right Winger",Right,176.00,66.00,1,19,0,1,3,0,11,"Boavista Futebol Clube"
18,Róbert,Bozeník,1999-11-18,Slovakia,Striker,Right,188.00,80.00,1,31,8,2,4,0,9,"Boavista Futebol Clube"
19,Jeriel,"De Santis",1999-04-09,Venezuela,Striker,Right,190.00,85.00,1,12,0,1,2,0,27,"Boavista Futebol Clube"
20,Martim,Tavares,2003-11-10,Portugal,Striker,Right,183.00,75.00,1,22,1,2,1,0,59,"Boavista Futebol Clube"
21,Tiago,Machado,2004-04-02,Portugal,Striker,Left,185.00,82.00,1,5,0,0,0,0,90,"Boavista Futebol Clube"
22,Tiago,Morais,2003-09-03,Portugal,Left-Winger,Left,168.00,63.00,1,17,6,2,5,2,21,"Boavista Futebol Clube"
23,Lucas,Paes,1997-12-07,Brazil,Goalkeeper,Right,193.00,90.00,2,4,0,0,4,0,68,"Casa Pia Atlético Clube"
24,Ricardo,Batista,1986-11-19,Angola,Goalkeeper,Left,192.00,84.00,2,31,0,0,2,1,33,"Casa Pia Atlético Clube"
25,André,Geraldes,1991-05-02,Portugal,"Right Back",Right,181.00,69.00,2,16,0,0,2,0,18,"Casa Pia Atlético Clube"
26,Duplexe,Tchamba,1998-07-10,Cameroon,"Center Back",Left,191.00,78.00,2,16,1,1,6,1,2,"Casa Pia Atlético Clube"
27,Vasco,Fernandes,1986-11-12,Portugal,"Center Back",Right,182.00,74.00,2,27,0,0,7,0,13,"Casa Pia Atlético Clube"
28,João,Nunes,1995-11-19,Portugal,"Center Back",Right,188.00,80.00,2,19,1,0,1,0,3,"Casa Pia Atlético Clube"
29,Fernando,Varela,1987-11-26,"Cape Verde","Center Back",Right,183.00,80.00,2,24,0,1,2,0,15,"Casa Pia Atlético Clube"
30,Fahem,Benaissa,2002-04-29,France,"Left Back",Right,188.00,80.00,2,1,0,0,0,0,12,"Casa Pia Atlético Clube"
31,Gaizka,Larrazabal,1997-12-17,Spain,"Right Back",Right,181.00,76.00,2,32,2,1,4,0,72,"Casa Pia Atlético Clube"
32,Leonardo,Lelo,2000-03-30,Portugal,"Left Back",Left,175.00,69.00,2,33,1,2,4,0,5,"Casa Pia Atlético Clube"
33,Nermin,Zolotić,1993-07-07,"Bosnia and Herzegovina","Center Back",Left,188.00,81.00,2,31,1,0,3,0,19,"Casa Pia Atlético Clube"
34,Kevin,Krygard,2000-05-17,Norway,"Defensive Midfielder",Right,184.00,77.00,2,3,0,0,0,0,14,"Casa Pia Atlético Clube"
35,Rafael,Brito,2002-01-19,Portugal,"Defensive Midfielder",Right,184.00,76.00,2,9,0,2,0,0,17,"Casa Pia Atlético Clube"
36,Diogo,Pinto,1999-06-29,Portugal,"Offensive Midfielder",Right,175.00,65.00,2,1,0,0,0,0,10,"Casa Pia Atlético Clube"
37,Pablo,Roberto,1999-11-14,Brazil,"Offensive Midfielder",Right,183.00,80.00,2,29,3,6,6,1,80,"Casa Pia Atlético Clube"
38,Ângelo,Neto,1991-09-02,Brazil,"Central Midfielder",Right,181.00,78.00,2,31,1,1,13,0,8,"Casa Pia Atlético Clube"
39,Beni,Mukendi,2002-05-21,Angola,"Central Midfielder",Right,180.00,73.00,2,25,0,3,9,1,16,"Casa Pia Atlético Clube"
40,Telasco,Segovia,2003-04-02,Venezuela,"Central Midfielder",Right,180.00,76.00,2,16,0,1,4,0,21,"Casa Pia Atlético Clube"
