team_id,team_name,coach_name,home_stadium,founded_year,team_city
1,"Boavista Futebol Clube","Ricardo Paiva","Estádio do Bessa",1903-08-01,Porto
2,"Casa Pia Atlético Clube","Pedro Moreira","Estádio Pina Manique",1920-07-03,Lisboa
3,"Clube de Futebol Estrela da Amadora","Filipe Martins","Estádio José Gomes",1932-01-22,Lisboa
4,"Grupo Desportivo Estoril Praia","Álvaro Pacheco","Estádio António Coimbra da Mota",1939-05-17,Lisboa
5,"Futebol Clube de Arouca","Daniel Ramos","Estádio Municipal de Arouca",1952-12-25,Aveiro
6,"Futebol Clube de Famalicão","Armando Evangelista","Estádio Municipal de Famalicão",1931-08-21,Braga
7,"Futebol Clube do Porto","Sérgio Conceição","Estádio do Dragão",1893-09-28,Porto
8,"Futebol Clube de Vizela","Rubén de la Barrera","Estádio do Vizela",1939-01-01,Braga
9,"Grupo Desportivo de Chaves","Moreno Teixeira","Estádio Municipal Eng.º Manuel Branco Teixeira",1949-09-27,"Vila Real"
10,"Gil Vicente Futebol Clube","Tozé Marreco","Estádio Cidade de Barcelos",1924-05-03,Braga
11,"Moreirense Futebol Clube","Rui Borges","Estádio Comendador Joaquim de Almeida",1938-11-01,Braga
12,"Portimonense Sporting Clube","Paulo Sérgio","Estádio Municipal de Portimão",1914-08-14,Faro
13,"Rio Ave Futebol Clube","Luís Freire","Estádio dos Arcos",1939-05-10,Porto
14,"Sporting Clube de Braga","Rui Duarte","Estádio Municipal de Braga",1921-01-19,Braga
15,"Sporting Clube de Portugal","Rúben Amorim","Estádio José Alvalade",1906-07-01,Lisboa
16,"Sporting Clube Farense","José Mota","Estádio de São Luís",1910-04-01,Faro
17,"Sport Lisboa e Benfica","Roger Schmidt","Estádio da Luz",1904-02-28,Lisboa
18,"Vitória Sport Clube","Rui Cunha","Estádio D. Afonso Henriques",1922-09-22,Braga
